benchmark_id,q_tag,skeleton_sql,example_question,mimiciii_query_template,mimiciv_cdm_query_template,tag_items,tag_item_subtypes,value_arguments,observed_tag_item_signature_count,observed_value_count,skeleton_variant_candidate,variant_risk_level,variant_driver_tag_items,variant_reason
ehrsql_018,what percentile is the value of {lab_value} in a {lab_name} lab test among patients of the same age as patient {patient_id} [time_filter_global1]?,"select (count(*) filter (where m.value_as_number < {lab_value}))::float / nullif(count(*) - 1, 0) as answer from <SCHEMA>.measurement m join <SCHEMA>.person p on p.person_id = m.person_id where 1=1 {measurement_filter:lab_name:m.measurement_concept_id} {age_group_filter:date_part('year', age(m.measurement_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:m.measurement_date} and m.value_as_number is not null",What is the percentile rank of the bands value of 1.0 among patients of the same age as patient 27465 during their first hospital visit?,"select distinct t1.c1 from ( select labevents.valuenum, percent_rank() over ( order by labevents.valuenum ) as c1 from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'platelet count' ) and labevents.hadm_id in ( select admissions.hadm_id from admissions where admissions.age = ( select admissions.age from admissions where admissions.subject_id = 18223 and admissions.dischtime is not null order by admissions.admittime asc limit 1 ) ) ) as t1 where t1.valuenum = 73.0","select (count(*) filter (where m.value_as_number < {lab_value}))::float / nullif(count(*) - 1, 0) as answer from <SCHEMA>.measurement m join <SCHEMA>.person p on p.person_id = m.person_id where 1=1 {measurement_filter:lab_name:m.measurement_concept_id} {age_group_filter:date_part('year', age(m.measurement_date, make_date(p.year_of_birth, 1, 1)))} {time_filter_global1:m.measurement_date} and m.value_as_number is not null",time_filter_global1,time_filter_global1: rel-hosp-cur | rel-hosp-first,lab_name; lab_value; patient_id,2,18,NO,low,,
ehrsql_160,what are_verb the top [n_rank] frequent lab tests of patients aged [age_group] [time_filter_global1]?,"select c.concept_name from (select mac.measurement_concept_id as concept_id, sum(mac.n) as n from <SCHEMA>.schera_measurement_concept_date_age_counts mac where 1=1 {age_group_filter:mac.age_bucket} {time_filter_global1:mac.measurement_date} group by mac.measurement_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What were the five most frequently given tests in 2104 for patients aged 60 or above?,"select d_labitems.label from d_labitems where d_labitems.itemid in ( select t1.itemid from ( select labevents.itemid, dense_rank() over ( order by count(*) desc ) as c1 from labevents where labevents.hadm_id in ( select admissions.hadm_id from admissions where admissions.age between 30 and 39 ) and datetime(labevents.charttime) <= datetime(current_time,'-4 year') group by labevents.itemid ) as t1 where t1.c1 <= 5 )","select c.concept_name from (select mac.measurement_concept_id as concept_id, sum(mac.n) as n from <SCHEMA>.schera_measurement_concept_date_age_counts mac where 1=1 {age_group_filter:mac.age_bucket} {time_filter_global1:mac.measurement_date} group by mac.measurement_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_global1,age_group: 20s | 30s | 40s | 50s | 60 or above; n_rank: five | four | three; time_filter_global1: abs-year-in | abs-year-until | rel-year-last | rel-year-since | rel-year-this | rel-year-until,NONE,10,0,NO,low,,
ehrsql_157,what are_verb the top [n_rank] frequently prescribed drugs that patients aged [age_group] were prescribed [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.person p_age on p_age.person_id = idx.person_id join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p_age.year_of_birth, 1, 1)))} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What were the four most frequent drugs prescribed within 2 months to patients in their 30s after being diagnosed with urin tract infection nos until 3 years ago?,"select t3.drug from ( select t2.drug, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'ac on chr syst hrt fail' ) and datetime(diagnoses_icd.charttime,'start of year') = datetime(current_time,'start of year','-1 year') ) as t1 join ( select admissions.subject_id, prescriptions.drug, prescriptions.startdate from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where admissions.age between 50 and 59 and datetime(prescriptions.startdate,'start of year') = datetime(current_time,'start of year','-1 year') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.startdate and datetime(t1.charttime,'start of month') = datetime(t2.startdate,'start of month') group by t2.drug ) as t3 where t3.c1 <= 5","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.person p_age on p_age.person_id = idx.person_id join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p_age.year_of_birth, 1, 1)))} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_within; time_filter_global1,age_group: 20s | 30s | 50s | 60 or above; n_rank: five | four | three; time_filter_global1: abs-year-until | rel-year-last | rel-year-until; time_filter_within: within-month | within-n_month,diagnosis_name,5,5,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_158,what are_verb the top [n_rank] frequently prescribed drugs that {gender} patients aged [age_group] were prescribed [time_filter_within] after having been diagnosed with {diagnosis_name} [time_filter_global1]?,"with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.person p on p.person_id = idx.person_id join <SCHEMA>.person p_age on p_age.person_id = idx.person_id join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {gender_filter:p.gender_concept_id} {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p_age.year_of_birth, 1, 1)))} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",What are the four most frequent drugs prescribed within 2 months to female patients in their 40s after being diagnosed with acute respiratry failure last year?,"select t3.drug from ( select t2.drug, dense_rank() over ( order by count(*) desc ) as c1 from ( select admissions.subject_id, diagnoses_icd.charttime from diagnoses_icd join admissions on diagnoses_icd.hadm_id = admissions.hadm_id where diagnoses_icd.icd9_code = ( select d_icd_diagnoses.icd9_code from d_icd_diagnoses where d_icd_diagnoses.short_title = 'hypertension nos' ) and datetime(diagnoses_icd.charttime) <= datetime(current_time,'-1 year') ) as t1 join ( select admissions.subject_id, prescriptions.drug, prescriptions.startdate from prescriptions join admissions on prescriptions.hadm_id = admissions.hadm_id where admissions.subject_id in ( select patients.subject_id from patients where patients.gender = 'm' ) and admissions.age between 30 and 39 and datetime(prescriptions.startdate) <= datetime(current_time,'-1 year') ) as t2 on t1.subject_id = t2.subject_id where t1.charttime < t2.startdate and datetime(t2.startdate) between datetime(t1.charttime) and datetime(t1.charttime,'+2 month') group by t2.drug ) as t3 where t3.c1 <= 4","with index_condition as (select distinct co.person_id, co.condition_start_date as index_date from <SCHEMA>.condition_occurrence co where 1=1 {condition_filter:diagnosis_name:co.condition_concept_id} {time_filter_global1:co.condition_start_date}) select c.concept_name from (select de.drug_concept_id as concept_id, count(*) as n from index_condition idx join <SCHEMA>.person p on p.person_id = idx.person_id join <SCHEMA>.person p_age on p_age.person_id = idx.person_id join <SCHEMA>.drug_exposure de on de.person_id = idx.person_id where de.drug_exposure_start_date > idx.index_date {time_filter_within:de.drug_exposure_start_date,idx.index_date} {gender_filter:p.gender_concept_id} {age_group_filter:date_part('year', age(de.drug_exposure_start_date, make_date(p_age.year_of_birth, 1, 1)))} group by de.drug_concept_id order by n desc {n_rank_limit}) r join <SCHEMA>.concept c on c.concept_id = r.concept_id order by r.n desc",n_rank; age_group; time_filter_within; time_filter_global1,age_group: 20s | 40s | 50s; n_rank: five | four; time_filter_global1: abs-year-since | rel-year-last | rel-year-this; time_filter_within: within-hosp | within-month | within-n_month,diagnosis_name; gender,5,7,YES,high,time_filter_within,"within subtype can switch between same-visit, same-month, and interval relations over two event queries"
ehrsql_125,count the number of patients who were admitted to the hospital [time_filter_global1].,select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where 1=1 {time_filter_global1:v.visit_start_date},Count the number of patients who were admitted until 4 years ago to the hospital.,"select count( distinct admissions.subject_id ) from admissions where datetime(admissions.admittime,'start of year') = datetime(current_time,'start of year','-0 year')",select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where 1=1 {time_filter_global1:v.visit_start_date},time_filter_global1,time_filter_global1: abs-year-in | abs-year-since | rel-year-until,NONE,3,0,NO,low,,
ehrsql_126,count the number of patients who were discharged from the hospital [time_filter_global1].,select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where v.visit_end_date is not null {time_filter_global1:v.visit_end_date},How many patients left the hospital last year?,"select count( distinct admissions.subject_id ) from admissions where admissions.dischtime is not null and datetime(admissions.dischtime,'start of year') = datetime(current_time,'start of year','-1 year')",select count(distinct v.person_id) from <SCHEMA>.visit_occurrence v where v.visit_end_date is not null {time_filter_global1:v.visit_end_date},time_filter_global1,time_filter_global1: abs-year-since | abs-year-until | rel-year-last | rel-year-this | rel-year-until,NONE,5,0,NO,low,,
ehrsql_060,what was the [time_filter_exact1] length of icu stay of patient {patient_id}?,"select date_part('day', vd.visit_detail_end_datetime - vd.visit_detail_start_datetime) as answer from <SCHEMA>.visit_detail vd join <SCHEMA>.person p on p.person_id = vd.person_id where p.person_source_value = {patient_id} {source_value_filter:icu_visit:vd.visit_detail_source_value} and vd.visit_detail_end_datetime is not null {time_filter_exact1:vd.visit_detail_start_datetime}",Calculate the duration of patient 3118's first stay in the ICU.,"select strftime('%j',icustays.outtime) - strftime('%j',icustays.intime) from icustays where icustays.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 55843 ) and icustays.outtime is not null order by icustays.intime asc limit 1","select date_part('day', vd.visit_detail_end_datetime - vd.visit_detail_start_datetime) as answer from <SCHEMA>.visit_detail vd join <SCHEMA>.person p on p.person_id = vd.person_id where p.person_source_value = {patient_id} {source_value_filter:icu_visit:vd.visit_detail_source_value} and vd.visit_detail_end_datetime is not null {time_filter_exact1:vd.visit_detail_start_datetime}",time_filter_exact1,time_filter_exact1: exact-first | exact-last,patient_id,2,14,NO,low,,
ehrsql_009,what was the [time_filter_exact1] length of hospital stay of patient {patient_id}?,"select date_part('day', v.visit_end_datetime - v.visit_start_datetime) as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} and v.visit_end_datetime is not null {time_filter_exact1:v.visit_start_datetime}",Could you calculate the duration of stay for patient 85169 during their first hospital stay?,"select strftime('%j',admissions.dischtime) - strftime('%j',admissions.admittime) from admissions where admissions.subject_id = 60142 and admissions.dischtime is not null order by admissions.admittime asc limit 1","select date_part('day', v.visit_end_datetime - v.visit_start_datetime) as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} and v.visit_end_datetime is not null {time_filter_exact1:v.visit_start_datetime}",time_filter_exact1,time_filter_exact1: exact-first | exact-last,patient_id,2,14,NO,low,,
ehrsql_079,has_verb patient {patient_id} been admitted to the hospital [time_filter_global1]?,select count(*) > 0 as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date},Has patient 23475 actually been admitted a year before?,"select count(*)>0 from admissions where admissions.subject_id = 12952 and strftime('%y',admissions.admittime) = '2105'",select count(*) > 0 as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date},time_filter_global1,time_filter_global1: abs-year-in | abs-year-since | rel-year-last | rel-year-this | rel-year-until,patient_id,5,7,NO,low,,
ehrsql_105,count the number of icu visits of patient {patient_id} [time_filter_global1].,select count(distinct vd.visit_detail_id) from <SCHEMA>.visit_detail vd join <SCHEMA>.person p on p.person_id = vd.person_id where p.person_source_value = {patient_id} {source_value_filter:icu_visit:vd.visit_detail_source_value} {time_filter_global1:vd.visit_detail_start_date},How many times has patient 24330 been to the ICU?,"select count( distinct icustays.icustay_id ) from icustays where icustays.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 27242 ) and datetime(icustays.intime) >= datetime(current_time,'-3 year')",select count(distinct vd.visit_detail_id) from <SCHEMA>.visit_detail vd join <SCHEMA>.person p on p.person_id = vd.person_id where p.person_source_value = {patient_id} {source_value_filter:icu_visit:vd.visit_detail_source_value} {time_filter_global1:vd.visit_detail_start_date},time_filter_global1,time_filter_global1: abs-year-in | null | rel-hosp-cur | rel-year-last | rel-year-since,patient_id,5,7,NO,low,,
ehrsql_080,has_verb patient {patient_id} been to an emergency room [time_filter_global1]?,select count(*) > 0 as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {source_value_filter:emergency_room:v.visit_source_value} {time_filter_global1:v.visit_start_date},"Since 2104, was patient 8103 in the ER?","select count(*)>0 from admissions where admissions.subject_id = 2700 and admissions.admission_location = 'emergency room admit' and strftime('%y',admissions.admittime) <= '2104'",select count(*) > 0 as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {source_value_filter:emergency_room:v.visit_source_value} {time_filter_global1:v.visit_start_date},time_filter_global1,time_filter_global1: abs-year-since | rel-hosp-last | rel-year-last | rel-year-this,patient_id,4,5,NO,low,,
ehrsql_098,list the hospital admission time of patient {patient_id} [time_filter_global1].,select v.visit_start_datetime as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date} order by v.visit_start_datetime,What was the time of patient 25312's hospital admission since 4 years ago?,"select admissions.admittime from admissions where admissions.subject_id = 51577 and strftime('%y',admissions.admittime) <= '2104'",select v.visit_start_datetime as answer from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date} order by v.visit_start_datetime,time_filter_global1,time_filter_global1: abs-year-in | abs-year-since | rel-year-since | rel-year-this,patient_id,4,5,NO,low,,
ehrsql_104,count the number of hospital visits of patient {patient_id} [time_filter_global1].,select count(distinct v.visit_occurrence_id) from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date},How many hospital visits did patient 26350 have last year?,"select count( distinct admissions.hadm_id ) from admissions where admissions.subject_id = 70169 and strftime('%y',admissions.admittime) >= '2105'",select count(distinct v.visit_occurrence_id) from <SCHEMA>.visit_occurrence v join <SCHEMA>.person p on p.person_id = v.person_id where p.person_source_value = {patient_id} {time_filter_global1:v.visit_start_date},time_filter_global1,time_filter_global1: abs-year-since | rel-year-last | rel-year-this | rel-year-until,patient_id,4,7,NO,low,,
