query_id,benchmark_id,source_question_id,db_id,split,q_tag,tag,question,ehrsql_template,query,is_fully_instantiated,is_impossible,answerability,execution_eligible,unresolved_macros,review_flags,value_arguments_json,tag_item_subtypes_json,ehrsql_value_json,mimiciii_gold_query,instantiation_source
schera_ehrsql_draft_00011,ehrsql_002,55635d05a5d6e9517326be90,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What is the cost for bronch/lung dx proc nec?,what is the cost of a procedure named bronch/lung dx proc nec?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4322976 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4322976),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""bronch/lung dx proc nec"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""bronch/lung dx proc nec""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'bronch/lung dx proc nec' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00012,ehrsql_002,7d9b39a23973f501ca6a887f,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What’s the price for an excis lesion of muscle?,what is the cost of a procedure named excis lesion of muscle?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4072136 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4072136),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""excis lesion of muscle"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""excis lesion of muscle""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'excis lesion of muscle' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00013,ehrsql_002,5e3f50d17c0ad8ced20b1611,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,What is the cost of a diagnostic dx ultrasound-heart?,what is the cost of a procedure named dx ultrasound-heart?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4037672 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4037672),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""dx ultrasound-heart"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""dx ultrasound-heart""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'dx ultrasound-heart' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00014,ehrsql_002,ad2d16715cab1e1bd0d3e85c,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,How much is percu nephrostm w/o frag?,what is the cost of a procedure named percu nephrostm w/o frag?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4022944 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4022944),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""percu nephrostm w/o frag"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""percu nephrostm w/o frag""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'percu nephrostm w/o frag' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00015,ehrsql_002,43965e272bb28279d3675a9f,mimic_iii,test,what is the cost of a procedure named {procedure_name}?,what is the cost of a procedure named {procedure_name}?,How much does the other gastrostomy cost?,what is the cost of a procedure named other gastrostomy?,select cst.total_cost as answer from <SCHEMA>.procedure_occurrence po join <SCHEMA>.cost cst on cst.cost_event_id = po.procedure_occurrence_id and cst.cost_domain_id = 'Procedure' where 1=1 AND po.procedure_concept_id IN (SELECT 4204677 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 4204677),TRUE,FALSE,answerable,TRUE,,,"{""procedure_name"": {""display_value"": ""other gastrostomy"", ""source_argument_name"": ""procedure_name"", ""value_type"": ""PROCEDURE_NAME""}}",{},"{""procedure_name"": ""other gastrostomy""}",select distinct cost.cost from cost where cost.event_type = 'procedures_icd' and cost.event_id in ( select procedures_icd.row_id from procedures_icd where procedures_icd.icd9_code = ( select d_icd_procedures.icd9_code from d_icd_procedures where d_icd_procedures.short_title = 'other gastrostomy' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00016,ehrsql_003,356ab2b726748c1f7d6fd61d,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,How much is the cost of cortisol?,what is the cost of a cortisol lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3009682,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""cortisol"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""cortisol""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'cortisol' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00017,ehrsql_003,a1900bbce665214c4fcee2c0,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,What is the price of albumin?,what is the cost of a albumin lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3024561,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""albumin"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""albumin""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'albumin' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00018,ehrsql_003,8aaffc5691db06eace1c4ee4,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,"What is the price of potassium, whole blood?","what is the cost of a potassium, whole blood lab test?",select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3005456,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""potassium, whole blood"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""potassium, whole blood""}","select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'potassium, whole blood' ) )",schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00019,ehrsql_003,4ec0fc487cb2e6b3617a4eb9,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,How much is the cost of theophylline?,what is the cost of a theophylline lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3009072,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""theophylline"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""theophylline""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'theophylline' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00020,ehrsql_003,55bbc5d0874a9e8de4d8ae81,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,What is the price of gentamicin?,what is the cost of a gentamicin lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3003105,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""gentamicin"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""gentamicin""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'gentamicin' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00021,ehrsql_003,f1862827148fe8b84ac86753,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,How much do monocytes cost?,what is the cost of a monocytes lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3033483,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""monocytes"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""monocytes""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'monocytes' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00022,ehrsql_003,37a9e0c0da285abd4c1280c1,mimic_iii,test,what is the cost of a {lab_name} lab test?,what is the cost of a {lab_name} lab test?,What is the CD3 %?,what is the cost of a cd3 % lab test?,select cst.total_cost as answer from <SCHEMA>.measurement m join <SCHEMA>.cost cst on cst.cost_event_id = m.measurement_id and cst.cost_domain_id = 'Measurement' where 1=1 AND m.measurement_concept_id = 3022533,TRUE,FALSE,answerable,TRUE,,,"{""lab_name"": {""display_value"": ""cd3 %"", ""source_argument_name"": ""lab_name"", ""value_type"": ""LAB_NAME""}}",{},"{""lab_name"": ""cd3 %""}",select distinct cost.cost from cost where cost.event_type = 'labevents' and cost.event_id in ( select labevents.row_id from labevents where labevents.itemid in ( select d_labitems.itemid from d_labitems where d_labitems.label = 'cd3 %' ) ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00023,ehrsql_004,3fad05a99cd9cb2cef934ceb,mimic_iii,test,what is the cost of a drug named {drug_name}?,what is the cost of a drug named {drug_name}?,What is the price of a drug named phenytoin infatab?,what is the cost of a drug named phenytoin infatab?,select cst.total_cost as answer from <SCHEMA>.drug_exposure de join <SCHEMA>.cost cst on cst.cost_event_id = de.drug_exposure_id and cst.cost_domain_id = 'Drug' where 1=1 AND de.drug_concept_id IN (SELECT 740910 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 740910),TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""phenytoin infatab"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""phenytoin infatab""}",select distinct cost.cost from cost where cost.event_type = 'prescriptions' and cost.event_id in ( select prescriptions.row_id from prescriptions where prescriptions.drug = 'phenytoin infatab' ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00024,ehrsql_004,988b6ee43332c632bf2f6576,mimic_iii,test,what is the cost of a drug named {drug_name}?,what is the cost of a drug named {drug_name}?,How much does it cost to take multivitamin 12?,what is the cost of a drug named multivitamin 12?,select cst.total_cost as answer from <SCHEMA>.drug_exposure de join <SCHEMA>.cost cst on cst.cost_event_id = de.drug_exposure_id and cst.cost_domain_id = 'Drug' where 1=1 AND de.drug_concept_id IN (SELECT 36026778 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 36026778),TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""multivitamin 12"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""multivitamin 12""}",select distinct cost.cost from cost where cost.event_type = 'prescriptions' and cost.event_id in ( select prescriptions.row_id from prescriptions where prescriptions.drug = 'multivitamin 12' ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00025,ehrsql_004,2ad681d643662e4c0d3b65c2,mimic_iii,test,what is the cost of a drug named {drug_name}?,what is the cost of a drug named {drug_name}?,What is the price of a drug named amoxicillin oral susp. suspension?,what is the cost of a drug named amoxicillin oral susp.?,select cst.total_cost as answer from <SCHEMA>.drug_exposure de join <SCHEMA>.cost cst on cst.cost_event_id = de.drug_exposure_id and cst.cost_domain_id = 'Drug' where 1=1 AND de.drug_concept_id IN (SELECT 1713332 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 1713332),TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""amoxicillin oral susp."", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""amoxicillin oral susp.""}",select distinct cost.cost from cost where cost.event_type = 'prescriptions' and cost.event_id in ( select prescriptions.row_id from prescriptions where prescriptions.drug = 'amoxicillin oral susp.' ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
schera_ehrsql_draft_00026,ehrsql_004,38444cf170edff29a30add79,mimic_iii,test,what is the cost of a drug named {drug_name}?,what is the cost of a drug named {drug_name}?,How much does it cost to take lidocaine 1%?,what is the cost of a drug named lidocaine 1%?,select cst.total_cost as answer from <SCHEMA>.drug_exposure de join <SCHEMA>.cost cst on cst.cost_event_id = de.drug_exposure_id and cst.cost_domain_id = 'Drug' where 1=1 AND de.drug_concept_id IN (SELECT 989878 AS concept_id UNION SELECT descendant_concept_id AS concept_id FROM <SCHEMA>.concept_ancestor WHERE ancestor_concept_id = 989878),TRUE,FALSE,answerable,TRUE,,,"{""drug_name"": {""display_value"": ""lidocaine 1%"", ""source_argument_name"": ""drug_name"", ""value_type"": ""DRUG_NAME""}}",{},"{""drug_name"": ""lidocaine 1%""}",select distinct cost.cost from cost where cost.event_type = 'prescriptions' and cost.event_id in ( select prescriptions.row_id from prescriptions where prescriptions.drug = 'lidocaine 1%' ),schera_ehrsql_mimic_iii_test_seed+ehrsql_value_mapping_links
